Date,Open,High,Low,Close,Adj Close,Volume
2023-10-19,1486.599976,1488.229004,1448.599976,1451.199951,1422.774414,7149343
2023-10-20,1454.199951,1466.800049,1448.400024,1462.000000,1433.362915,7455546
2023-10-23,1466.000000,1474.400024,1454.800049,1462.400024,1433.755127,3893155
2023-10-24,1445.400024,1470.599976,1435.800049,1470.000000,1441.206177,3291400
2023-10-25,1475.400024,1489.800049,1460.000000,1483.199951,1454.147583,6966170
2023-10-26,1481.599976,1495.800049,1471.800049,1474.400024,1445.520142,12986589
2023-10-27,1464.599976,1484.400024,1433.199951,1433.199951,1405.126953,4502875
2023-10-30,1436.400024,1460.000000,1430.599976,1452.400024,1423.951050,4033353
2023-10-31,1455.000000,1466.000000,1444.000000,1457.400024,1428.853027,17908155
2023-11-01,1501.000000,1513.199951,1401.199951,1423.000000,1395.126831,13712476
2023-11-02,1421.800049,1433.199951,1376.000000,1396.000000,1368.655640,14384751
2023-11-03,1399.400024,1416.198975,1383.800049,1395.599976,1368.263550,5123506
2023-11-06,1391.800049,1409.099976,1383.599976,1405.000000,1377.479370,5130722
2023-11-07,1410.599976,1426.599976,1398.000000,1424.800049,1396.891602,6317797
2023-11-08,1424.199951,1436.800049,1422.159058,1426.199951,1398.264038,10204097
2023-11-09,1435.599976,1437.130005,1414.000000,1415.400024,1387.675659,14620481
2023-11-10,1412.800049,1425.400024,1388.599976,1398.400024,1371.008667,6624707
2023-11-13,1408.400024,1416.599976,1401.000000,1407.199951,1379.636353,6185143
2023-11-14,1409.800049,1418.000000,1381.854004,1383.400024,1356.302612,6485815
2023-11-15,1387.199951,1401.400024,1378.199951,1392.800049,1365.518433,5925795
2023-11-16,1383.800049,1397.400024,1371.400024,1382.000000,1368.687500,5832671
2023-11-17,1389.000000,1410.599976,1376.199951,1410.599976,1397.011963,10472074
2023-11-20,1410.199951,1419.800049,1384.400024,1408.000000,1394.437012,4270560
2023-11-21,1401.400024,1418.391968,1393.000000,1417.400024,1403.746582,4982291
2023-11-22,1416.400024,1424.800049,1372.599976,1411.199951,1397.606201,10825051
2023-11-23,1409.400024,1425.196045,1404.199951,1421.000000,1407.311890,4771854
2023-11-24,1421.599976,1430.000000,1410.599976,1422.599976,1408.896362,4716874
2023-11-27,1424.000000,1428.599976,1414.199951,1414.199951,1400.577271,2685047
2023-11-28,1408.199951,1424.199951,1395.000000,1411.800049,1398.200562,5168417
2023-11-29,1409.400024,1409.800049,1395.603027,1401.000000,1387.504517,2873204
2023-11-30,1405.599976,1427.400024,1396.400024,1419.400024,1405.727295,12531218
2023-12-01,1426.000000,1725.810059,1419.000000,1436.000000,1422.167358,5240718
2023-12-04,1437.199951,1458.000000,1437.000000,1455.400024,1441.380493,4952435
2023-12-05,1451.000000,1464.199951,1431.199951,1439.599976,1425.732666,4490492
2023-12-06,1443.400024,1454.000000,1430.800049,1440.000000,1426.128784,8779045
2023-12-07,1441.400024,1448.800049,1426.800049,1432.599976,1418.800049,10555610
2023-12-08,1434.000000,1442.800049,1422.599976,1434.400024,1420.582764,4526489
2023-12-11,1437.000000,1451.071045,1431.000000,1447.400024,1433.457520,6758332
2023-12-12,1452.199951,1466.400024,1438.599976,1449.400024,1435.438232,9586970
2023-12-13,1454.199951,1468.400024,1447.800049,1455.800049,1441.776611,12762550
2023-12-14,1468.800049,1487.800049,1444.400024,1461.800049,1447.718872,19653352
2023-12-15,1451.000000,1456.199951,1414.800049,1419.199951,1405.529175,16498679
